date,open,low,high,close,volume
2014-07-21,"7,706","7,706","8,059.98","8,043.49",7.54150122
2014-07-22,"8,015","7,725","8,069","8,002.45",6.99910392
2014-07-23,"7,950.01","7,850","8,060","7,952",4.85049481
2014-07-24,"7,895","7,701","7,998","7,925",8.65594084
2014-07-25,"7,938.99","7,768","8,045","8,025",7.25317441
2014-07-26,"7,965","7,745","7,988.49","7,988.49",5.25198234
2014-07-27,"7,905","7,799","7,905","7,799",3.363
2014-07-28,"7,797","7,600","7,864","7,799.99",2.68079329
2014-07-29,"7,601.2","7,598","7,602","7,601.35",2.44051057
2014-07-30,"7,669","7,500","7,783.5","7,504",13.3175093
2014-07-31,"7,650","7,480","7,981","7,665",15.10720542
2014-08-01,"7,980","7,675","7,986","7,986",3.27850789
2014-08-02,"7,815","7,801.12","7,901","7,841",3.37358315
2014-08-03,"7,835","7,777","7,895","7,777",4.84233303
2014-08-04,"7,777","7,482.5","7,844.99","7,694.99",12.03902704
2014-08-05,"7,569","7,482","7,685","7,685",2.92748208
2014-08-06,"7,697.85","7,490.01","7,697.85","7,505.01",2.5692054
2014-08-07,"7,501","7,480","7,698","7,698",2.97077837
2014-08-08,"7,605","7,503.5","7,711","7,711",4.98937957
2014-08-09,"7,711","7,601","7,712","7,712",2.67583792
2014-08-10,"7,712","7,712","7,744.88","7,744.87",1.39499322
2014-08-11,"7,525","7,462","7,744.86","7,462",3.97117263
2014-08-12,"7,696","7,465.02","7,744.6","7,744",6.14445831
2014-08-13,"7,462.01","7,245","7,744","7,475",7.46541359
2014-08-14,"7,244","6,840","7,473.99","7,208.6",14.70487189
2014-08-15,"7,208.75","6,295","7,209.99","6,380",15.46241613
2014-08-16,"6,545","6,545","6,734","6,734",1.9163
2014-08-17,"6,415","6,375","6,595","6,535",1.95983644
2014-08-18,"6,454","6,095","6,454","6,365",4.86007583
2014-08-19,"6,384","5,987","6,385","6,195",6.96853479
2014-08-20,"6,172.01","6,100","6,628.5","6,628.5",8.10082584
2014-08-21,"6,627","6,575","6,785","6,650",7.72550421
2014-08-22,"6,610","6,600","6,780","6,658",5.40217684
2014-08-23,"6,658","6,545","6,658","6,585",7.53417336
2014-08-24,"6,597.99","6,597.99","6,715","6,715",1.03574087
